NumeroCorte,FolioInicio, FolioFinal,TotalUnidades,TotalPuntos,Efectivo,Tarjeta,Cheque,Transferencia,OtroMetodo,TotalVendido,DevolucionEfectivo,DevolucionTarjeta,TipoCambio,Fecha
28,0,0,108,0,0,0,0,0,0,2857,0,0,0,04/07/2017 07:56 p. m.
29,0,0,200,0,0,0,0,0,0,3684.5,0,0,0,05/07/2017 07:45 p. m.
30,0,0,119,0,0,0,0,0,0,3833,0,0,0,06/07/2017 07:30 p. m.
31,0,0,120,0,0,0,0,0,0,3872,0,0,0,07/07/2017 07:32 p. m.
32,0,0,238,0,0,0,0,0,0,5309,0,0,0,08/07/2017 07:28 p. m.
33,0,0,147,0,0,0,0,0,0,4497.5,0,0,0,09/07/2017 06:34 p. m.
34,0,0,165,0,0,0,0,0,0,5394,0,0,0,10/07/2017 07:42 p. m.
35,0,0,76,0,0,0,0,0,0,3513,0,0,0,11/07/2017 07:36 p. m.
36,0,0,141,0,0,0,0,0,0,3430,0,0,0,12/07/2017 07:40 p. m.
37,0,0,157,0,0,0,0,0,0,3990.5,0,0,0,13/07/2017 07:35 p. m.
38,0,0,126,0,0,0,0,0,0,3007,0,0,0,14/07/2017 07:54 p. m.
39,0,0,151,0,0,0,0,0,0,3531.5,0,0,0,15/07/2017 07:11 p. m.
40,0,0,85,0,0,0,0,0,0,1972.5,0,0,0,16/07/2017 06:05 p. m.
42,0,0,119,0,0,0,0,0,0,2300.5,0,0,0,17/07/2017 07:35 p. m.
43,0,0,105,0,0,0,0,0,0,1948.5,0,0,0,18/07/2017 07:29 p. m.
44,0,0,134,0,0,0,0,0,0,2265.5,0,0,0,19/07/2017 07:30 p. m.
45,0,0,138,0,0,0,0,0,0,4176,0,0,0,20/07/2017 07:37 p. m.
46,0,0,92,0,0,0,0,0,0,2206.5,0,0,0,21/07/2017 07:18 p. m.
47,0,0,69,0,0,0,0,0,0,2484,0,0,0,22/07/2017 07:49 p. m.
48,0,0,112,0,0,0,0,0,0,3622.5,0,0,0,23/07/2017 06:51 p. m.
49,0,0,62,0,0,0,0,0,0,2058,0,0,0,24/07/2017 07:33 p. m.
50,0,0,110,0,0,0,0,0,0,1460.5,0,0,0,25/07/2017 07:30 p. m.
51,0,0,108,0,0,0,0,0,0,1705.5,0,0,0,26/07/2017 07:31 p. m.
52,0,0,122,0,0,0,0,0,0,2342,0,0,0,27/07/2017 07:21 p. m.
53,0,0,97,0,0,0,0,0,0,3033,0,0,0,28/07/2017 07:27 p. m.
54,0,0,74,0,0,0,0,0,0,2092.5,0,0,0,29/07/2017 07:14 p. m.
55,0,0,111,0,0,0,0,0,0,2786.5,0,0,0,30/07/2017 05:50 p. m.
56,0,0,154,0,0,0,0,0,0,2999.5,0,0,0,31/07/2017 07:27 p. m.
57,0,0,68,0,0,0,0,0,0,1107,0,0,0,01/08/2017 07:32 p. m.
58,0,0,85,0,0,0,0,0,0,2529.5,0,0,0,02/08/2017 07:56 p. m.
59,0,0,69,0,0,0,0,0,0,1552.5,0,0,0,03/08/2017 07:23 p. m.
60,0,0,159,0,0,0,0,0,0,1834.5,0,0,0,04/08/2017 07:22 p. m.
61,0,0,103,0,0,0,0,0,0,1928.5,0,0,0,07/08/2017 07:36 p. m.
62,0,0,68,0,0,0,0,0,0,2222,0,0,0,08/08/2017 07:46 p. m.
63,0,0,82,0,0,0,0,0,0,1276,0,0,0,09/08/2017 07:49 p. m.
64,0,0,98,0,0,0,0,0,0,3113,0,0,0,10/08/2017 07:34 p. m.
65,0,0,184,0,0,0,0,0,0,3032.5,0,0,0,11/08/2017 07:48 p. m.
66,0,0,111,0,0,0,0,0,0,2696,0,0,0,12/08/2017 07:42 p. m.
67,0,0,134,0,0,0,0,0,0,4246,0,0,0,13/08/2017 06:06 p. m.
68,0,0,46,0,0,0,0,0,0,1337,0,0,0,14/08/2017 07:36 p. m.
69,0,0,183,0,0,0,0,0,0,3400.5,0,0,0,15/08/2017 07:41 p. m.
70,0,0,209,0,0,0,0,0,0,2826,0,0,0,16/08/2017 07:38 p. m.
71,0,0,115,0,0,0,0,0,0,2849.5,0,0,0,17/08/2017 07:34 p. m.
72,0,0,100,0,0,0,0,0,0,2434.5,0,0,0,18/08/2017 07:43 p. m.
73,0,0,138,0,0,0,0,0,0,3032,0,0,0,19/08/2017 07:34 p. m.
74,0,0,257,0,0,0,0,0,0,3933.5,0,0,0,20/08/2017 07:39 p. m.
75,0,0,54,0,0,0,0,0,0,1448,0,0,0,21/08/2017 07:26 p. m.
76,0,0,146,0,0,0,0,0,0,1715,0,0,0,22/08/2017 07:43 p. m.
77,0,0,89,0,0,0,0,0,0,1831.5,0,0,0,23/08/2017 07:40 p. m.
78,0,0,86,0,0,0,0,0,0,1876.5,0,0,0,24/08/2017 08:05 p. m.
79,0,0,181,0,0,0,0,0,0,2849,0,0,0,25/08/2017 07:40 p. m.
80,0,0,109,0,0,0,0,0,0,2481.5,0,0,0,26/08/2017 07:24 p. m.
81,0,0,156,0,0,0,0,0,0,1877.5,0,0,0,27/08/2017 07:22 p. m.
82,0,0,138,0,0,0,0,0,0,3321,0,0,0,28/08/2017 07:36 p. m.
83,0,0,72,0,0,0,0,0,0,2091,0,0,0,29/08/2017 07:25 p. m.
84,0,0,84,0,0,0,0,0,0,2091,0,0,0,30/08/2017 08:00 p. m.
85,0,0,139,0,0,0,0,0,0,2802,0,0,0,31/08/2017 07:28 p. m.
86,0,0,114,0,0,0,0,0,0,3179,0,0,0,01/09/2017 07:33 p. m.
87,0,0,122,0,0,0,0,0,0,2211.5,0,0,0,02/09/2017 07:31 p. m.
88,0,0,156,0,0,0,0,0,0,3192.5,0,0,0,03/09/2017 06:24 p. m.
89,0,0,158,0,0,0,0,0,0,3559.5,0,0,0,04/09/2017 07:49 p. m.
90,0,0,131,0,0,0,0,0,0,2077.5,0,0,0,05/09/2017 07:53 p. m.
91,0,0,126,0,0,0,0,0,0,2927.5,0,0,0,06/09/2017 07:58 p. m.
92,0,0,224,0,0,0,0,0,0,2382.5,0,0,0,07/09/2017 07:41 p. m.
93,0,0,160,0,0,0,0,0,0,3210,0,0,0,08/09/2017 07:28 p. m.
94,0,0,145,0,0,0,0,0,0,2563,0,0,0,09/09/2017 06:45 p. m.
95,0,0,132,0,0,0,0,0,0,3594,0,0,0,10/09/2017 06:02 p. m.
96,0,0,106,0,0,0,0,0,0,2287,0,0,0,11/09/2017 07:37 p. m.
97,0,0,97,0,0,0,0,0,0,1836,0,0,0,12/09/2017 07:32 p. m.
98,0,0,160,0,0,0,0,0,0,2810.5,0,0,0,13/09/2017 07:24 p. m.
99,0,0,236,0,0,0,0,0,0,3954,0,0,0,14/09/2017 07:45 p. m.
100,0,0,176,0,0,0,0,0,0,3329.5,0,0,0,15/09/2017 07:46 p. m.
101,0,0,187,0,0,0,0,0,0,3943.5,0,0,0,16/09/2017 07:28 p. m.
102,0,0,206,0,0,0,0,0,0,3472,0,0,0,17/09/2017 05:29 p. m.
103,0,0,92,0,0,0,0,0,0,2060,0,0,0,18/09/2017 07:32 p. m.
104,0,0,110,0,0,0,0,0,0,2173,0,0,0,19/09/2017 07:28 p. m.
105,0,0,58,0,0,0,0,0,0,1834.5,0,0,0,20/09/2017 07:32 p. m.
106,0,0,68,0,0,0,0,0,0,959,0,0,0,21/09/2017 07:29 p. m.
107,0,0,135,0,0,0,0,0,0,2651.5,0,0,0,22/09/2017 07:39 p. m.
108,0,0,184,0,0,0,0,0,0,3648.5,0,0,0,23/09/2017 07:22 p. m.
109,0,0,92,0,0,0,0,0,0,1385.5,0,0,0,24/09/2017 06:10 p. m.
110,0,0,107,0,0,0,0,0,0,3115,0,0,0,25/09/2017 07:22 p. m.
111,0,0,81,0,0,0,0,0,0,1626,0,0,0,26/09/2017 07:35 p. m.
112,0,0,59,0,0,0,0,0,0,1550,0,0,0,27/09/2017 07:33 p. m.
113,0,0,88,0,0,0,0,0,0,2799.5,0,0,0,28/09/2017 07:36 p. m.
114,0,0,105,0,0,0,0,0,0,1872.5,0,0,0,29/09/2017 07:30 p. m.
115,0,0,208,0,0,0,0,0,0,3719.5,0,0,0,30/09/2017 07:26 p. m.
116,0,0,126,0,0,0,0,0,0,3004,0,0,0,01/10/2017 05:55 p. m.
117,0,0,87,0,0,0,0,0,0,2478.5,0,0,0,02/10/2017 07:37 p. m.
118,0,0,81,0,0,0,0,0,0,1410,0,0,0,03/10/2017 07:14 p. m.
119,0,0,124,0,0,0,0,0,0,2301.5,0,0,0,04/10/2017 07:29 p. m.
120,0,0,204,0,0,0,0,0,0,7624,0,0,0,05/10/2017 07:30 p. m.
121,0,0,245,0,0,0,0,0,0,5961,0,0,0,06/10/2017 07:40 p. m.
122,0,0,170,0,0,0,0,0,0,3871.5,0,0,0,07/10/2017 07:23 p. m.
123,0,0,137,0,0,0,0,0,0,3645,0,0,0,08/10/2017 06:10 p. m.
124,0,0,108,0,0,0,0,0,0,3663,0,0,0,09/10/2017 07:42 p. m.
125,0,0,154,0,0,0,0,0,0,4588.01,0,0,0,10/10/2017 07:34 p. m.
126,0,0,132,0,0,0,0,0,0,2154,0,0,0,11/10/2017 07:34 p. m.
127,0,0,204,0,0,0,0,0,0,5509,0,0,0,12/10/2017 07:39 p. m.
128,0,0,251,0,0,0,0,0,0,4356.5,0,0,0,13/10/2017 07:51 p. m.
129,0,0,170,0,0,0,0,0,0,4014.5,0,0,0,14/10/2017 07:40 p. m.
130,0,0,102,0,0,0,0,0,0,2602,0,0,0,15/10/2017 05:56 p. m.
131,0,0,74,0,1115.5,1259,0,0,0,2374.5,0,0,0,16/10/2017 07:44 p. m.
132,0,0,98,0,2832,538,0,0,0,3370,0,0,0,17/10/2017 07:35 p. m.
133,0,0,154,0,2616,0,0,0,0,2616,0,0,0,18/10/2017 07:54 p. m.
134,0,0,211,0,4068.5,1341.5,0,0,0,5410,0,0,0,19/10/2017 07:35 p. m.
135,0,0,175,0,4490.5,730.5,0,0,0,5221,0,0,0,20/10/2017 07:35 p. m.
136,0,0,209,0,4657.5,1716,0,0,0,6373.5,0,0,0,21/10/2017 07:39 p. m.
137,0,0,130,0,2577,0,0,0,0,2577,0,0,0,22/10/2017 06:07 p. m.
138,0,0,102,0,1266,33,0,0,0,1299,0,0,0,23/10/2017 07:38 p. m.
139,0,0,102,0,1266,33,0,0,0,1299,0,0,0,23/10/2017 07:43 p. m.
138,0,0,102,0,1266,33,0,0,0,1299,0,0,0,23/10/2017 07:45 p. m.
139,0,0,174,0,2500,309.5,0,0,0,2809.5,0,0,0,24/10/2017 07:24 p. m.
140,0,0,139,0,3055,1191,0,0,0,4246,0,0,0,25/10/2017 07:27 p. m.
141,0,0,139,0,3068,529.5,0,0,0,3597.5,0,0,0,26/10/2017 07:39 p. m.
142,0,0,162,0,3370,710,0,0,0,4080,0,0,0,27/10/2017 08:01 p. m.
143,0,0,244,0,4560,84,0,0,0,4644,0,0,0,28/10/2017 07:44 p. m.
144,0,0,223,0,3702.5,135,0,0,0,3837.5,0,0,0,29/10/2017 06:13 p. m.
145,0,0,401,0,6801,2188.5,0,0,0,8989.5,0,0,0,30/10/2017 08:40 p. m.
146,0,0,153,0,4118,110,0,0,0,4228,0,0,0,31/10/2017 06:00 p. m.
147,0,0,88,0,983,1194,0,0,0,2177,0,0,0,01/11/2017 07:23 p. m.
148,0,0,190,0,2466,546.5,0,0,0,3012.5,0,0,0,02/11/2017 07:27 p. m.
149,0,0,122,0,3549.5,187.5,0,0,0,3737,0,0,0,03/11/2017 07:18 p. m.
150,0,0,61,0,1302,49,0,0,0,1351,0,0,0,04/11/2017 07:29 p. m.
151,0,0,79,0,715.5,298,0,0,0,1013.5,0,0,0,05/11/2017 05:46 p. m.
152,0,0,29,0,780.5,239,0,0,0,1019.5,0,0,0,06/11/2017 07:27 p. m.
153,0,0,47,0,599.5,106,0,0,0,705.5,0,0,0,07/11/2017 07:30 p. m.
154,0,0,61,0,1238.57,728,0,0,0,1966.57,0,0,0,08/11/2017 07:34 p. m.
155,0,0,71,0,1245.5,0,0,0,0,1245.5,0,0,0,09/11/2017 07:37 p. m.
156,0,0,135,0,3017,760,0,0,0,3777,0,0,0,10/11/2017 07:27 p. m.
157,0,0,114,0,2912,195,0,0,0,3107,0,0,0,11/11/2017 07:04 p. m.
158,0,0,152,0,3319.5,325,0,0,0,3644.5,0,0,0,12/11/2017 05:35 p. m.
159,0,0,130,0,1609.5,812.5,0,0,0,2422,0,0,0,13/11/2017 07:19 p. m.
160,0,0,186,0,3599,541,0,0,0,4140,0,0,0,14/11/2017 07:39 p. m.
161,0,0,255,0,5772.5,395,0,0,0,6167.5,0,0,0,15/11/2017 07:26 p. m.
162,0,0,206,0,2308.5,1217,0,0,0,3525.5,0,0,0,16/11/2017 07:58 p. m.
163,0,0,144,0,2329.5,1361,0,0,0,3690.5,0,0,0,17/11/2017 07:53 p. m.
164,0,0,124,0,3233,1004,0,0,0,4237,0,0,0,18/11/2017 07:25 p. m.
165,0,0,81,0,1683.5,143,0,0,0,1826.5,0,0,0,19/11/2017 05:04 p. m.
166,0,0,115,0,2158,145,0,0,0,2303,0,0,0,20/11/2017 04:50 p. m.
167,0,0,99,0,1400,465,0,0,0,1865,0,0,0,21/11/2017 07:28 p. m.
168,0,0,373,0,4846.5,947,0,0,0,5793.5,0,0,0,22/11/2017 07:35 p. m.
169,0,0,267,0,3084.5,220,0,0,0,3304.5,0,0,0,23/11/2017 07:24 p. m.
170,0,0,159,0,2435.5,701,0,0,0,3136.5,0,0,0,24/11/2017 07:32 p. m.
171,0,0,192,0,3488,679.5,0,0,0,4167.5,0,0,0,25/11/2017 07:40 p. m.
172,0,0,119,0,2462.5,465,0,0,0,2927.5,0,0,0,26/11/2017 05:42 p. m.
173,0,0,120,0,1036,2246.5,0,0,0,3282.5,0,0,0,27/11/2017 07:43 p. m.
174,0,0,65,0,1188,580,0,0,0,1768,0,0,0,28/11/2017 07:19 p. m.
175,0,0,104,0,1182.5,134,0,0,0,1316.5,0,0,0,29/11/2017 07:36 p. m.
176,0,0,194,0,2322,1487.5,0,0,0,3809.5,0,0,0,30/11/2017 07:24 p. m.
177,0,0,351,0,6453,819,0,0,0,7272,0,0,0,01/12/2017 07:26 p. m.
178,0,0,112,0,2425,1429.5,0,0,0,3854.5,0,0,0,02/12/2017 07:41 p. m.
179,0,0,138,0,2667.5,2383.5,0,0,0,5051,0,0,0,03/12/2017 06:11 p. m.
180,0,0,209,0,2260.5,915,0,0,0,3175.5,0,0,0,04/12/2017 07:55 p. m.
181,0,0,200,0,2051.5,1531,0,0,0,3582.5,0,0,0,05/12/2017 07:21 p. m.
182,0,0,171,0,1764.5,2161,0,0,0,3925.5,0,0,0,06/12/2017 07:40 p. m.
183,0,0,216,0,3871,289,0,0,0,4160,0,0,0,07/12/2017 07:30 p. m.
184,0,0,189,0,2419.5,368,0,0,0,2787.5,0,0,0,08/12/2017 07:22 p. m.
185,0,0,196,0,3089,4009,0,0,0,7098,0,0,0,09/12/2017 07:42 p. m.
186,0,0,217,0,3618.5,2247,0,0,0,5865.5,0,0,0,10/12/2017 06:18 p. m.
187,0,0,168,0,3424,149,0,0,0,3573,0,0,0,11/12/2017 07:17 p. m.
188,0,0,173,0,1817,1666.5,0,0,0,3483.5,0,0,0,12/12/2017 07:24 p. m.
189,0,0,7,0,682,0,0,0,0,682,0,0,0,12/12/2017 07:32 p. m.
190,0,0,86,0,2012.5,655.5,0,0,0,2668,0,0,0,13/12/2017 07:27 p. m.
191,0,0,237,0,3136,1825,0,0,0,4961,0,0,0,14/12/2017 07:25 p. m.
192,0,0,138,0,1786,798,0,0,0,2584,0,0,0,15/12/2017 07:30 p. m.
193,0,0,96,0,1902.5,1143,0,0,0,3045.5,0,0,0,16/12/2017 07:45 p. m.
194,0,0,124,0,943.5,1521.5,0,0,0,2465,0,0,0,17/12/2017 06:32 p. m.
195,0,0,106,0,1031.5,1456,0,0,0,2487.5,0,0,0,18/12/2017 07:41 p. m.
196,0,0,181,0,1817,2421,0,0,0,4238,0,0,0,19/12/2017 07:32 p. m.
197,0,0,84,0,1337.5,474,0,0,0,1811.5,0,0,0,20/12/2017 07:25 p. m.
198,0,0,61,0,762.5,564.5,0,0,0,1327,0,0,0,21/12/2017 07:41 p. m.
199,0,0,174,0,2785.5,2061.5,0,0,0,4847,0,0,0,22/12/2017 07:43 p. m.
200,0,0,294,0,4938,3307.5,0,0,0,8245.5,0,0,0,23/12/2017 08:49 p. m.
201,0,0,230,0,5975,4286,0,0,0,10261,0,0,0,24/12/2017 07:43 p. m.
202,0,0,18,0,1262,175,0,0,0,1437,0,0,0,26/12/2017 07:13 p. m.
203,0,0,45,0,558,1310,0,0,0,1868,0,0,0,27/12/2017 06:38 p. m.
204,0,0,12,0,513,171,0,0,0,684,0,0,0,28/12/2017 07:19 p. m.
205,0,0,66,0,1709.5,0,0,0,0,1709.5,0,0,0,29/12/2017 07:32 p. m.
206,0,0,86,0,1526.5,0,0,0,0,1526.5,0,0,0,30/12/2017 07:17 p. m.
207,0,0,50,0,912,0,0,0,0,912,0,0,0,31/12/2017 05:48 p. m.
208,0,0,48,0,1684.5,0,0,0,0,1684.5,0,0,0,02/01/2018 07:32 p. m.
209,0,0,49,0,1145.5,0,0,0,0,1145.5,0,0,0,03/01/2018 07:12 p. m.
210,0,0,55,0,966.5,656,0,0,0,1622.5,0,0,0,04/01/2018 07:36 p. m.
211,0,0,23,0,465,0,0,0,0,465,0,0,0,05/01/2018 07:22 p. m.
212,0,0,64,0,1249,45,0,0,0,1294,0,0,0,06/01/2018 07:32 p. m.
213,0,0,43,0,1000,114,0,0,0,1114,0,0,0,07/01/2018 05:54 p. m.
214,0,0,36,0,889.5,150,0,0,0,1039.5,0,0,0,08/01/2018 07:16 p. m.
215,0,0,8,0,234,510,0,0,0,744,0,0,0,09/01/2018 05:43 p. m.
216,0,0,50,0,1547,744,0,0,0,2291,0,0,0,10/01/2018 07:26 p. m.
217,0,0,57,0,1202,100,0,0,0,1302,0,0,0,11/01/2018 07:24 p. m.
218,0,0,63,0,1210,100,0,0,0,1310,0,0,0,12/01/2018 07:34 p. m.
219,0,0,71,0,1373,319,0,0,0,1692,0,0,0,13/01/2018 07:30 p. m.
220,0,0,53,0,1096,0,0,0,0,1096,0,0,0,14/01/2018 05:59 p. m.
221,0,0,44,0,1031,138,0,0,0,1169,0,0,0,15/01/2018 07:24 p. m.
222,0,0,45,0,401,151,0,0,0,552,0,0,0,16/01/2018 07:21 p. m.
223,0,0,66,0,1274,40,0,0,0,1314,0,0,0,17/01/2018 07:27 p. m.
224,0,0,51,0,1385.5,248,0,0,0,1633.5,0,0,0,18/01/2018 07:15 p. m.
225,0,0,78,0,875,74,0,0,0,949,0,0,0,19/01/2018 07:14 p. m.
226,0,0,93,0,1154,515,0,0,0,1669,0,0,0,20/01/2018 06:54 p. m.
227,0,0,62,0,1644,30,0,0,0,1674,0,0,0,21/01/2018 05:44 p. m.
228,0,0,32,0,508,0,0,0,0,508,0,0,0,22/01/2018 07:30 p. m.
229,0,0,41,0,1546,0,0,0,0,1546,0,0,0,23/01/2018 07:36 p. m.
230,0,0,63,0,994,180,0,0,0,1174,0,0,0,24/01/2018 07:07 p. m.
231,0,0,66,0,511.5,574.5,0,0,0,1086,0,0,0,25/01/2018 07:25 p. m.
232,0,0,41,0,692.5,353,0,0,0,1045.5,0,0,0,26/01/2018 07:29 p. m.
233,0,0,106,0,1816,1250.5,0,0,0,3066.5,0,0,0,27/01/2018 07:15 p. m.
234,0,0,54,0,489.5,613.5,0,0,0,1103,0,0,0,28/01/2018 05:54 p. m.
235,0,0,68,0,956.5,459,0,0,0,1415.5,0,0,0,29/01/2018 07:25 p. m.
236,0,0,50,0,942.5,0,0,0,0,942.5,0,0,0,30/01/2018 06:59 p. m.
237,0,0,53,0,1017,418,0,0,0,1435,0,0,0,31/01/2018 07:20 p. m.
238,0,0,137,0,2749.5,475,0,0,0,3224.5,0,0,0,01/02/2018 07:43 p. m.
239,0,0,102,0,1652.5,622,0,0,0,2274.5,0,0,0,02/02/2018 07:45 p. m.
240,0,0,34,0,1311.5,723,0,0,0,2034.5,0,0,0,03/02/2018 07:34 p. m.
241,0,0,74,0,1900,317,0,0,0,2217,0,0,0,04/02/2018 05:58 p. m.
242,0,0,82,0,1022,795.5,0,0,0,1817.5,0,0,0,05/02/2018 07:36 p. m.
243,0,0,112,0,697,1351,0,0,0,2048,0,0,0,06/02/2018 07:27 p. m.
244,0,0,51,0,1027,140,0,0,0,1167,0,0,0,07/02/2018 07:34 p. m.
245,0,0,86,0,1790,130,0,0,0,1920,0,0,0,08/02/2018 07:28 p. m.
246,0,0,113,0,1246,355,0,0,0,1601,0,0,0,09/02/2018 07:25 p. m.
247,0,0,118,0,3115.5,575.5,0,0,0,3691,0,0,0,10/02/2018 07:34 p. m.
248,0,0,135,0,2102.5,1707,0,0,0,3809.5,0,0,0,11/02/2018 06:18 p. m.
249,0,0,133,0,2513.5,219,0,0,0,2732.5,0,0,0,12/02/2018 07:41 p. m.
250,0,0,187,0,4944,981.5,0,0,0,5925.5,0,0,0,13/02/2018 08:24 p. m.
251,0,0,138,0,2420,2631,0,0,0,5051,0,0,0,14/02/2018 07:41 p. m.
252,0,0,14,0,204,544,0,0,0,748,0,0,0,15/02/2018 07:37 p. m.
253,0,0,79,0,923,1239,0,0,0,2162,0,0,0,16/02/2018 07:41 p. m.
254,0,0,37,0,573.5,95,0,0,0,668.5,0,0,0,17/02/2018 07:32 p. m.
255,0,0,85,0,1282.5,798,0,0,0,2080.5,0,0,0,18/02/2018 06:03 p. m.
256,0,0,41,0,1027,0,0,0,0,1027,0,0,0,19/02/2018 07:00 p. m.
257,0,0,15,0,681.5,0,0,0,0,681.5,0,0,0,20/02/2018 07:25 p. m.
258,0,0,48,0,548,104,0,0,0,652,0,0,0,21/02/2018 07:17 p. m.
259,0,0,48,0,926.5,425,0,0,0,1351.5,0,0,0,22/02/2018 07:29 p. m.
260,0,0,55,0,652.5,115,0,0,0,767.5,0,0,0,23/02/2018 06:57 p. m.
261,0,0,77,0,1687.5,299,0,0,0,1986.5,0,0,0,24/02/2018 07:36 p. m.
262,0,0,45,0,1279,0,0,0,0,1279,0,0,0,25/02/2018 05:35 p. m.
263,0,0,14,0,106,239,0,0,0,345,0,0,0,26/02/2018 07:22 p. m.
264,0,0,26,0,910.5,0,0,0,0,910.5,0,0,0,27/02/2018 07:26 p. m.
265,0,0,54,0,1019,534.5,0,0,0,1553.5,0,0,0,28/02/2018 07:19 p. m.
266,0,0,136,0,1607,1091,0,0,0,2698,0,0,0,01/03/2018 07:35 p. m.
267,0,0,24,0,716,0,0,0,0,716,0,0,0,02/03/2018 07:26 p. m.
268,0,0,68,0,1856.5,5612,0,0,0,7468.5,0,0,0,03/03/2018 07:22 p. m.
269,0,0,97,0,1928,1872,0,0,0,3800,0,0,0,04/03/2018 05:44 p. m.
270,0,0,103,0,2016.5,875,0,0,0,2891.5,0,0,0,05/03/2018 07:35 p. m.
271,0,0,37,0,398,259,0,0,0,657,0,0,0,06/03/2018 07:31 p. m.
272,0,0,104,0,1728.5,89,0,0,0,1817.5,0,0,0,07/03/2018 07:31 p. m.
273,0,0,31,0,1624.5,0,0,0,0,1624.5,0,0,0,08/03/2018 07:47 p. m.
274,0,0,116,0,3028.5,199,0,0,0,3227.5,0,0,0,09/03/2018 07:30 p. m.
275,0,0,129,0,2222,641,0,0,0,2863,0,0,0,10/03/2018 07:31 p. m.
276,0,0,60,0,1441,0,0,0,0,1441,0,0,0,11/03/2018 05:42 p. m.
277,0,0,65,0,1472.5,95,0,0,0,1567.5,0,0,0,12/03/2018 07:29 p. m.
278,0,0,37,0,1288.5,226,0,0,0,1514.5,0,0,0,13/03/2018 07:38 p. m.
279,0,0,40,0,480,121.5,0,0,0,601.5,0,0,0,14/03/2018 07:32 p. m.
280,0,0,108,0,1944,765.5,0,0,0,2709.5,0,0,0,15/03/2018 07:34 p. m.
280,0,0,82,0,2484,325,0,0,0,2809,0,0,0,16/03/2018 07:40 p. m.
281,0,0,139,0,2638,653,0,0,0,3291,0,0,0,17/03/2018 07:29 p. m.
282,0,0,109,0,1772.5,210,0,0,0,1982.5,0,0,0,18/03/2018 06:02 p. m.
283,0,0,94,0,1115,67,0,0,0,1182,0,0,0,19/03/2018 07:25 p. m.
284,0,0,193,0,4286,204,0,0,0,4490,0,0,0,20/03/2018 07:37 p. m.
285,0,0,101,0,2216,272,0,0,0,2488,0,0,0,21/03/2018 07:24 p. m.
286,0,0,75,0,977,416.5,0,0,0,1393.5,0,0,0,22/03/2018 07:41 p. m.
287,0,0,57,0,890.5,492,0,0,0,1382.5,0,0,0,23/03/2018 07:19 p. m.
288,0,0,47,0,686.5,553,0,0,0,1239.5,0,0,0,24/03/2018 07:23 p. m.
289,0,0,51,0,994,0,0,0,0,994,0,0,0,25/03/2018 06:00 p. m.
290,0,0,37,0,580.5,176,0,0,0,756.5,0,0,0,26/03/2018 07:27 p. m.
